PRODUCT,NICKNAME,,,,,,,,,,,,
grapes,grapes red seedless,,,,,,,,,,,,
cauliflower,cauliflower,,,,,,,,,,,,
orange,orange bag cara cara,,,,,,,,,,,,
popcorn,smartfood popcorn,skinny pop pcrn ul,,,,,,,,,,,
breakfast cereal,kellogs special k,walks into a bar fig,kllgg apple jacks,,,,,,,,,,
strawberries,strawberriess,,,,,,,,,,,,
blueberries,blueberries,,,,,,,,,,,,
poegranate white tea,org pomegranage white tea,,,,,,,,,,,,
chocolate hearts,mini dark choc hearts,,,,,,,,,,,,
avocado,avocado bag hass teeny tiny,avovados h,avocado hass,,,,,,,,,,
card,1srdist card,,,,,,,,,,,,
peaches,variety pack pacha peaches,,,,,,,,,,,,
green tea,htea og just grn tea,,,,,,,,,,,,
gelato,gelato pistachio,,,,,,,,,,,,
ground coffee,joe coffee medium roast ground,,,,,,,,,,,,
,signature select,frozen section/ safeway,,,,,,,,,,,
chicken,ranger air chilled,,,,,,,,,,,,
clementine,clementine,,,,,,,,,,,,
mangos,mangos lar,,,,,,,,,,,,
flour tortillas,flour tortillas,,,,,,,,,,,,
corn,whole kernal corn sweet & crsp,,,,,,,,,,,,
crunch chili onion,crunch chili onion,,,,,,,,,,,,
spcie nori komi furikake,spcie nori komi furikake,,,,,,,,,,,,
baby spinach,salad organic baby spinach,o organic baby spina,t b kashmir spnch,,,,,,,,,,
potato ,potato russet,,,,,,,,,,,,
dried figs,turkin dried figs,,,,,,,,,,,,
,sig buttermilk white,baked goods/ safeway,,,,,,,,,,,
steak,bf lion tip stk,,,,,,,,,,,,
backribs,ss pk ln backribs,,,,,,,,,,,,
crispy crunchy mochi rice ,crispy crunchy mochi rice,,,,,,,,,,,,
coconut crispy rolls,coconut crispy rolls,,,,,,,,,,,,
farafalle,farafalle with cheese & spinache,,,,,,,,,,,,
chicken breast,natural bnls chicken breast,,,,,,,,,,,,
chicken wings,natural chicken wings,,,,,,,,,,,,
glaze,glaze,,,,,,,,,,,,
eggplant spread,eggplant garlic spread,,,,,,,,,,,,
squash,squash delicata,zucchini squash,,,,,,,,,,,
fermented soybeans,mizkan kintsubu toromame natto,mizkan kintsubu niowa natto,sk fermented soybeans,,,,,,,,,,
noodles ,ns ansung tangmyun multi,ns shin ramyun multi,g.m dried noodle medium,mizkan kintsubu toromame natto,,,,,,,,,
paper bag,district h paper bag,,,,,,,,,,,,
fish ball,jane jane fz. pollack fish ball,,,,,,,,,,,,
fish paste,kibun kamaboko aka fz,,,,,,,,,,,,
fried tofu,afc fried tofu blocks,,,,,,,,,,,,
red miso,hikari shinshu miso red,,,,,,,,,,,,
imitation crab meat,crd imitation crab meat stick osaki,,,,,,,,,,,,
kimchi,woori sliced kimchi,,,,,,,,,,,,
rice cake,hs rice cake round,,,,,,,,,,,,
sesame oil,dyn sesame oil,,,,,,,,,,,,
coca cola,coca cola,,,,,,,,,,,,
peanut butter,o org peanut butter,,,,,,,,,,,,
frozen fruit,remlinger farms,,,,,,,,,,,,
fruit yogurt,ellons marinoberr,,,,,,,,,,,,
sponge,sig sponge heavy,,,,,,,,,,,,
minced garlic,sig garlic minced,,,,,,,,,,,,
kombucha,humm kombucha lmn,humm kombucha,,,,,,,,,,,
funfetti mix,plsbry funfetti,,,,,,,,,,,,
,sig drinki,safeway/ grocey,,,,,,,,,,,
coffee ,coffee db du,peets coffee house,,,,,,,,,,,
canola oil,sig cook spry cano,,,,,,,,,,,,
oreo,oreo sandwich,nbc oreo mega stuf,,,,,,,,,,,
jackfruit,jackfruit jackfrui,,,,,,,,,,,,
curry,o org plant curry,,,,,,,,,,,,
ibuprofen,sig ibuprofen,,,,,,,,,,,,
protein bar,clif bar,,,,,,,,,,,,
liquid hand soap,method fhw,,,,,,,,,,,,
strawberrr sauce,motts straw,,,,,,,,,,,,
lucky charms,gmills lcky chrms,,,,,,,,,,,,
flour,sig flour,,,,,,,,,,,,
wheat thins,nbc wheat thins cr.,,,,,,,,,,,,
hazelnut butter,hazelnut bttr,,,,,,,,,,,,
facial tissue,kleenex facial,,,,,,,,,,,,
butter,luc butter,,,,,,,,,,,,
tampons,sig tampon regular,,,,,,,,,,,,
shaving cream,eos shave cream,,,,,,,,,,,,
radishes,radishes organic,,,,,,,,,,,,
coconut milk,chaoko cocnt,beverage  coconut unsweetened h,,,,,,,,,,,
smoked paprika,mc smoked paprika,,,,,,,,,,,,
cooking oil,chosen foods oil,,,,,,,,,,,,
sesame seeds,sn l ssm seed tstd,,,,,,,,,,,,
garbanzo beans,oo garbanzo beans,,,,,,,,,,,,
dish soap,finish quantum,,,,,,,,,,,,
deli wrap,deli wrap,,,,,,,,,,,,
wine,simpler wines rose,,,,,,,,,,,,
hummus,hummus org,,,,,,,,,,,,
dark chocolate crisps,crisp dk choc,,,,,,,,,,,,
red pepper spread,red pepper spread,,,,,,,,,,,,
pesto tortellini,orgainc pesto tortellini,,,,,,,,,,,,
melon,a-melon sugar kiss,,,,,,,,,,,,
brussels sprouts,brussels sprouts,,,,,,,,,,,,
cherries,cherries red org,,,,,,,,,,,,
